"organismo","primer_ejercicio","ultimo_ejercicio","n_adj","tipo","anclaje"
"317 - Ministerio de Ambiente y Desarrollo Sostenible",2020,2026,351,"administracion",FALSE
"914 - Superintendencia de Servicios de Salud",2020,2026,313,"salud_social",FALSE
"303 - Secretaría de Políticas Integrales Sobre Drogas de la Nación Argentina  (SEDRONAR)",2020,2026,288,"salud_social",FALSE
"614 - Instituto Nacional de Semillas",2020,2026,255,"administracion",FALSE
"121 - Banco Nacional de Datos Genéticos",2020,2026,238,"ciencia_universidad",FALSE
"336 - SECRETARÍA DE INNOVACIÓN; CIENCIA Y TECNOLOGÍA",2020,2026,220,"ciencia_universidad",FALSE
"386-Ministerio de las Mujeres; Géneros y Diversidad",2020,2023,170,"salud_social",FALSE
"365-Ministerio de Desarrollo Territorial y Hábitat",2020,2023,169,"infraestructura",FALSE
"363 - Ministerio de Agricultura; Ganadería y Pesca",2020,2023,144,"administracion",FALSE
"366 - Secretaría de Innovación Pública",2020,2022,129,"administracion",FALSE
"202 - Instituto Nacional contra la Discriminación; la Xenofobia y el Racismo",2020,2024,86,"administracion",FALSE
"368 - SECRETARÍA DE COMUNICACIÓN Y MEDIOS DE LA PRESIDENCIA DE LA NACIÓN",2020,2026,85,"administracion",FALSE
"347 - Secretaría de Medios y Comunicación Pública",2020,2023,66,"administracion",FALSE
"328 - Secretaría de Energía",2020,2024,18,"administracion",FALSE
"173 - AGENCIA NACIONAL DE PROMOCIÓN DE LA INVESTIGACIÓN; EL DESARROLLO TECNOLÓGICO Y LA INNOVACIÓN",2022,2026,58,"ciencia_universidad",FALSE
"311 - Desarrollo Humano y Economía Solidaria",2024,2026,102,"salud_social",FALSE
"388 - MINSTERIO DE CAPITAL HUMANO",2024,2026,39,"salud_social",FALSE
"377 - INFRAESTRUCTURA ECONOMICA Y SOCIAL",2024,2026,29,"infraestructura",FALSE
"389 - Ministerio de Desregulación y Transformación del Estado",2025,2026,11,"administracion",FALSE
"673 - AGENCIA NACIONAL DE PUERTOS Y NAVEGACIÓN",2025,2025,1,"administracion",FALSE
"919 - ADMINISTRACION NACIONAL DE ESTABLECIMIENTOS DE SALUD",2026,2026,31,"salud_social",FALSE
"674 - ENTE NACIONAL REGULADOR DEL GAS Y LA ELECTRICIDAD",2026,2026,18,"administracion",FALSE
