"loc_uoc","lat_u","lon_u","loc_prov","lat_p","lon_p","anclado","n_adj","km"
"CABA",-34.6075,-58.4371,"PUNTA ALTA",-38.8781733532983,-62.0794804613607,"Programmatic organ",102,575
"Córdoba",-31.4150461523809,-64.1791140755104,"Córdoba",-31.4150461523809,-64.1791140755104,"Anchored organ",102,0
"CABA",-34.6075,-58.4371,"LANUS ESTE",-34.7141603772546,-58.3743055982995,"Programmatic organ",101,13
"Resistencia",-27.4510757112285,-58.9864835287395,"PASO DE LOS LIBRES",-29.7137148107283,-57.085405398509,"Anchored organ",101,313
"CABA",-34.6075,-58.4371,"HURLINGHAM",-34.5898383931687,-58.6374166101562,"Anchored organ",100,18
"Campo de Mayo",-34.5550627752485,-58.6522136037965,"CIUDADELA",-34.6379153169712,-58.5393433409443,"Anchored organ",100,14
"CABA",-34.6075,-58.4371,"LA CONSULTA",-33.733847173131,-69.1198852597666,"Anchored organ",99,987
"CABA",-34.6075,-58.4371,"PARANA",-31.7401601621031,-60.5274260494443,"Anchored organ",99,373
"CABA",-34.6075,-58.4371,"SAN MIGUEL",-34.5431343361878,-58.7092007082159,"Anchored organ",99,26
"San Carlos de Bariloche",-41.1358081611304,-71.3043392567773,"CABA",-34.6075,-58.4371,"Programmatic organ",98,1340
"CABA",-34.6075,-58.4371,"QUILMES",-34.7200676236621,-58.254346982141,"Anchored organ",97,21
"CABA",-34.6075,-58.4371,"VILLA MARIA",-32.4135041930881,-63.248329032642,"Anchored organ",97,508
"Paraná",-31.7401601621031,-60.5274260494443,"CORDOBA",-31.4150461523809,-64.1791140755104,"Anchored organ",97,348
"CABA",-34.6075,-58.4371,"CORRIENTES",-27.4633450136008,-58.8394728460849,"Programmatic organ",96,795
"CABA",-34.6075,-58.4371,"SARANDÍ",-34.6817960638597,-58.3463107872911,"Anchored organ",96,12
"Salta",-24.7831983811283,-65.4102509654276,"CABA",-34.6075,-58.4371,"Anchored organ",96,1282
"Río Gallegos",-51.6234632663739,-69.2158645331237,"RIO GALLEGOS",-51.6234632663739,-69.2158645331237,"Anchored organ",95,0
"General Rodríguez",-34.6082064832342,-58.9510798915332,"CABA",-34.6075,-58.4371,"Programmatic organ",94,47
"CABA",-34.6075,-58.4371,"SAN LUIS",-33.3020864829706,-66.336854573535,"Anchored organ",93,743
"CABA",-34.6075,-58.4371,"BOULOGNE SUR MER",-34.5094800482416,-58.5669108609788,"Anchored organ",91,16
"El Palomar",-34.6108556165017,-58.5956810077115,"CABA",-34.6075,-58.4371,"Programmatic organ",91,15
"CABA",-34.6075,-58.4371,"LOMAS DEL MIRADOR",-34.6652765210767,-58.5317739283029,"Anchored organ",90,11
"CABA",-34.6075,-58.4371,"PARANA",-31.7401601621031,-60.5274260494443,"Programmatic organ",90,373
"La Rioja",-29.412884219358,-66.8558279775847,"LA RIOJA",-29.412884219358,-66.8558279775847,"Anchored organ",90,0
"Mendoza",-32.8897325533642,-68.8444442314254,"CORDOBA",-31.4150461523809,-64.1791140755104,"Anchored organ",90,469
"Río Santiago",-34.8513758,-57.8868726,"MANUEL B. GONNET",-34.8818546802863,-58.0103208206183,"Anchored organ",89,12
"CABA",-34.6075,-58.4371,"ORDOÑEZ",-32.8410073284041,-62.8659855543871,"Anchored organ",88,454
"CABA",-34.6075,-58.4371,"AVELLANEDA",-34.6638295089907,-58.3627373569237,"Anchored organ",87,9
"CABA",-34.6075,-58.4371,"Córdoba",-31.4150461523809,-64.1791140755104,"Programmatic organ",87,642
"CABA",-34.6075,-58.4371,"SANTA FE",-31.6574749533861,-60.7104784410123,"Programmatic organ",87,390
"CABA",-34.6075,-58.4371,"SARANDÍ",-34.6817960638597,-58.3463107872911,"Programmatic organ",87,12
"Córdoba",-31.4150461523809,-64.1791140755104,"ROSARIO",-32.9472133838031,-60.6331755763544,"Anchored organ",87,375
"CABA",-34.6075,-58.4371,"JOSE C. PAZ",-34.5217463442325,-58.7553740815986,"Anchored organ",86,31
