"provincia","estrato","rv"
"Córdoba","core",0.3732
"Córdoba","core",0.4817
"Córdoba","core",0.5422
"Córdoba","core",0.247
"Córdoba","core",0.4088
"Córdoba","core",0.4237
"Córdoba","core",0.4832
"Córdoba","core",0.565
"Córdoba","core",0.6072
"Córdoba","core",0.3809
"Córdoba","core",0.3523
"Córdoba","core",0.5883
"Córdoba","core",0.3492
"Córdoba","core",0.4327
"Córdoba","core",0.5018
"Córdoba","core",0.59
"Córdoba","core",0.2718
"Córdoba","core",0.4598
"Córdoba","core",0.5955
"Córdoba","core",0.4925
"Córdoba","core",0.2135
"Córdoba","core",0.5282
"Córdoba","core",0.6283
"Córdoba","core",0.4118
"Córdoba","core",0.5249
"Córdoba","core",0.3743
"Córdoba","core",0.4443
"Córdoba","core",0.4614
"Córdoba","core",0.4498
"Santa Fe","core",0.5515
"Santa Fe","core",0.3853
"Santa Fe","core",0.485
"Santa Fe","core",0.4407
"Santa Fe","core",0.6663
"Santa Fe","core",0.6298
"Santa Fe","core",0.63
"Santa Fe","core",0.3862
"Santa Fe","core",0.5602
"Santa Fe","core",0.559
"Santa Fe","core",0.5468
"Santa Fe","core",0.6559
"Santa Fe","core",0.6587
"Santa Fe","core",0.5695
"Santa Fe","core",0.5525
"Santa Fe","core",0.5586
"Santa Fe","core",0.5078
"Santa Fe","core",0.6234
"Santa Fe","core",0.7336
"Santa Fe","core",0.6241
"Santa Fe","core",0.6332
"Santa Fe","core",0.5347
"Santa Fe","core",0.5909
"Santa Fe","core",0.4333
"Santa Fe","core",0.5908
"Santa Fe","core",0.3829
"Santa Fe","core",0.6777
"Santa Fe","core",0.6416
"Santa Fe","core",0.5441
"Santa Fe","core",0.5582
"Santa Fe","core",0.5717
"Santa Fe","core",0.6548
"Santa Fe","core",0.4488
"Santa Fe","core",0.6935
"Santa Fe","core",0.4785
"Santa Fe","core",0.5262
"Santa Fe","core",0.5388
"Santa Fe","core",0.452
"Santa Fe","core",0.7212
"Santa Fe","core",0.7153
"Santa Fe","core",0.602
"Santa Fe","core",0.4832
"Santa Fe","core",0.6399
"Santa Fe","core",0.4071
"Santa Fe","core",0.6281
"Santa Fe","core",0.5139
"Santa Fe","core",0.4863
"Santa Fe","core",0.3705
"Santa Fe","core",0.7233
"Santa Fe","core",0.6017
"Santa Fe","core",0.6206
"Santa Fe","core",0.5172
"Santa Fe","core",0.5956
"Santa Fe","core",0.4399
"Santa Fe","core",0.4791
"Santa Fe","core",0.5132
"Santa Fe","core",0.5655
"Santa Fe","core",0.6714
"Santa Fe","core",0.5725
"Santa Fe","core",0.3756
"Santa Fe","core",0.5549
"Santa Fe","core",0.5323
"Santa Fe","core",0.7011
"Santa Fe","core",0.394
"Santa Fe","core",0.6713
"Santa Fe","core",0.704
"Santa Fe","core",0.4963
"Santa Fe","core",0.7359
"Santa Fe","core",0.594
"Santa Fe","core",0.661
"Santa Fe","core",0.6001
"Santa Fe","core",0.6232
"Santa Fe","core",0.4781
"Santa Fe","core",0.5771
"Santa Fe","core",0.5169
"Santa Fe","core",0.5079
"Santa Fe","core",0.6341
"Santa Fe","core",0.6316
"Santa Fe","core",0.6764
"Santa Fe","core",0.691
"Santa Fe","core",0.7381
"Santa Fe","core",0.4937
"Santa Fe","core",0.4904
"Santa Fe","core",0.5497
"Santa Fe","core",0.4583
"Santa Fe","core",0.6492
"Santa Fe","core",0.4919
"Santa Fe","core",0.4069
"Santa Fe","core",0.5552
"Santa Fe","core",0.4894
"Santa Fe","core",0.6635
"Santa Fe","core",0.5557
"Santa Fe","core",0.5819
"Santa Fe","core",0.6702
"Santa Fe","core",0.3471
"Santa Fe","core",0.3959
