"provincia","anio","planta","habitantes","empleo_x1000hab"
"Santiago del Estero",1999,34454,720982,47.78760080002
"Tucumán",1999,46306.4,1278216,36.2273668926066
"Tierra del Fuego",1999,7777,109998,70.7012854779178
"CABA",2000,112466,3043431,36.9536881236999
"Buenos Aires",2000,428407.833333333,14047486,30.4971176574466
"Catamarca",2000,23784.3333333333,312269,76.1661686985686
"Corrientes",2000,36967,909207,40.6585079085401
"Chaco",2000,42119,940901,44.7645395211611
"Chubut",2000,23408,438236,53.4141421517173
"Entre Ríos",2000,54159,1104836,49.019945041617
"Formosa",2000,33696.7333333333,492513,68.4179571571376
"Jujuy",2000,29622.1666666667,594117,49.8591467112819
"La Pampa",2000,17174.4,301466,56.9696085130661
"La Rioja",2000,23258.4,273471,85.048871726801
"Mendoza",2000,63257.4333333333,1588091,39.8323731658534
"Misiones",2000,35511.0666666667,972672,36.5087785673553
"Neuquén",2000,36543.2666666667,540384,67.6246274254357
"Río Negro",2000,29295,606575,48.2957589745703
"Salta",2000,37563.8666666667,1044973,35.9472126712046
"San Juan",2000,28452.5,574053,49.5642388420581
"San Luis",2000,16738,354959,47.1547418152519
"Santa Cruz",2000,17365.3,201642,86.1194592396425
"Santa Fe",2000,104623,3068765,34.0928679778347
"Santiago del Estero",2000,34881,720982,48.379848595388
"Tucumán",2000,46100.0666666667,1278216,36.0659439927733
"Tierra del Fuego",2000,8129,109998,73.9013436607938
"CABA",2001,111424,2995397,37.198408090814
"Buenos Aires",2001,412983.833333333,14167123,29.1508609993245
"Catamarca",2001,23994.7,335859,71.4427780705594
"Corrientes",2001,36515,939179,38.8797023783539
"Chaco",2001,41241,991454,41.5964835484047
"Chubut",2001,24357,425375,57.2600646488393
"Entre Ríos",2001,54103,1173533,46.1026660519985
"Formosa",2001,33442.9666666667,489663,68.2979246270735
"Jujuy",2001,29619.1666666667,617063,48.0002312027567
"La Pampa",2001,17228.4333333333,306037,56.2952627732377
"La Rioja",2001,23140.4,294597,78.5493402852032
"Mendoza",2001,61205.3,1606024,38.1098289938382
"Misiones",2001,34558.0666666667,968238,35.6917066533917
"Neuquén",2001,36909,486779,75.8229093695496
"Río Negro",2001,30054,573394,52.4142212858872
"Salta",2001,38632.8666666667,1084033,35.6380909683254
"San Juan",2001,27568.9,627913,43.905604757347
"San Luis",2001,18693,372849,50.1355776735354
"Santa Fe",2001,105692,3095496,34.1438011872734
"Santiago del Estero",2001,34118,808934,42.176494003219
"Tucumán",2001,46745.3,1353541,34.5355626464215
"Tierra del Fuego",2001,8215,101247,81.1382065641451
"CABA",2002,111424,3000966,37.1293776737224
"Buenos Aires",2002,406181.833333333,14290241,28.4237217086355
"Catamarca",2002,23995,343154,69.9248733804647
"Córdoba",2002,86309,3172180,27.2081029449779
"Corrientes",2002,36515,949538,38.4555436433297
"Chaco",2002,40968,999654,40.9821798342226
"Chubut",2002,23632,430431,54.903108744491
"Entre Ríos",2002,54103,1184584,45.6725736629906
"Formosa",2002,33628.9666666667,496550,67.7252374718894
"Jujuy",2002,31353,625930,50.0902656846612
"La Pampa",2002,17228,309956,55.5820826181781
"La Rioja",2002,23438.4,300974,77.8751652966701
"Mendoza",2002,61759,1623499,38.0406763416547
"Misiones",2002,34432,983482,35.0103001376741
"Neuquén",2002,36909,495473,74.4924546847154
"Río Negro",2002,30053,577042,52.0811310095279
"Salta",2002,38632.8666666667,1103122,35.0213908041601
"San Juan",2002,27568.9,637602,43.2384151869034
"San Luis",2002,18693,381889,48.9487783099278
"Santa Cruz",2002,17365.3,202043,85.9485357077454
"Santa Fe",2002,105162,3115922,33.7498820573814
"Santiago del Estero",2002,33937,816294,41.5744817430975
"Tucumán",2002,46613,1370385,34.0145287638145
"Tierra del Fuego",2002,8215,104721,78.4465388985972
"CABA",2003,111721,3006179,37.1637883173291
"Buenos Aires",2003,426879.833333333,14410581,29.6226663819685
"Catamarca",2003,23994.7,350440,68.4702088802648
"Córdoba",2003,88914,3199362,27.7911658636941
"Corrientes",2003,38519,959809,40.1319429178097
"Chaco",2003,41416,1007845,41.0936205468103
"Chubut",2003,24906,435397,57.2029664880557
"Entre Ríos",2003,56736,1195374,47.46296974838
"Formosa",2003,34295.9666666667,503404,68.1281171120346
"Jujuy",2003,32869,634722,51.7848758984248
