"provincia","estrato","rv"
"Córdoba","core",0.5234
"Córdoba","core",0.2419
"Córdoba","core",0.3697
"Córdoba","core",0.4948
"Córdoba","core",0.2915
"Córdoba","core",0.3489
"Córdoba","core",0.5723
"Córdoba","core",0.5505
"Córdoba","core",0.539
"Córdoba","core",0.4628
"Córdoba","core",0.5378
"Córdoba","core",0.4475
"Córdoba","core",0.3762
"Córdoba","core",0.3431
"Córdoba","core",0.3097
"Córdoba","core",0.4365
"Córdoba","core",0.5394
"Córdoba","core",0.3988
"Córdoba","core",0.5679
"Córdoba","core",0.2039
"Córdoba","core",0.5133
"Córdoba","core",0.4582
"Córdoba","core",0.4044
"Córdoba","core",0.2534
"Córdoba","core",0.5372
"Córdoba","core",0.472
"Córdoba","core",0.4393
"Córdoba","core",0.3674
"Córdoba","core",0.3246
"Córdoba","core",0.2539
"Córdoba","core",0.3516
"Córdoba","core",0.4577
"Córdoba","core",0.3387
"Córdoba","core",0.6517
"Córdoba","core",0.583
"Córdoba","core",0.4482
"Córdoba","core",0.4154
"Córdoba","core",0.3547
"Córdoba","core",0.3173
"Córdoba","core",0.2889
"Córdoba","core",0.3382
"Córdoba","core",0.4636
"Córdoba","core",0.3764
"Córdoba","core",0.4122
"Córdoba","core",0.5158
"Córdoba","core",0.3706
"Córdoba","core",0.598
"Córdoba","core",0.3317
"Córdoba","core",0.2481
"Córdoba","core",0.5537
"Córdoba","core",0.3055
"Córdoba","core",0.6616
"Córdoba","core",0.6182
"Córdoba","core",0.3918
"Córdoba","core",0.4228
"Córdoba","core",0.2759
"Córdoba","core",0.3802
"Córdoba","core",0.3019
"Córdoba","core",0.4103
"Córdoba","core",0.2324
"Córdoba","core",0.2371
"Córdoba","core",0.4703
"Córdoba","core",0.2302
"Córdoba","core",0.2929
"Córdoba","core",0.4902
"Córdoba","core",0.4551
"Córdoba","core",0.4848
"Córdoba","core",0.4001
"Córdoba","core",0.408
"Córdoba","core",0.3172
"Córdoba","core",0.2706
"Córdoba","core",0.2347
"Córdoba","core",0.4439
"Córdoba","core",0.4305
"Córdoba","core",0.5592
"Córdoba","core",0.4989
"Córdoba","core",0.3904
"Córdoba","core",0.4109
"Córdoba","core",0.5755
"Córdoba","core",0.2492
"Córdoba","core",0.3699
"Córdoba","core",0.298
"Córdoba","core",0.1697
"Córdoba","core",0.3663
"Córdoba","core",0.3229
"Córdoba","core",0.3334
"Córdoba","core",0.3372
"Córdoba","core",0.2667
"Córdoba","core",0.3327
"Córdoba","core",0.3703
"Córdoba","core",0.5358
"Córdoba","core",0.6674
"Córdoba","core",0.5494
"Córdoba","core",0.2836
"Córdoba","core",0.4909
"Córdoba","core",0.5583
"Córdoba","core",0.5293
"Córdoba","core",0.4026
"Córdoba","core",0.4406
"Córdoba","core",0.2731
"Córdoba","core",0.586
"Córdoba","core",0.3595
"Córdoba","core",0.4563
"Córdoba","core",0.3318
"Córdoba","core",0.6394
"Córdoba","core",0.6134
"Córdoba","core",0.5463
"Córdoba","core",0.3783
"Córdoba","core",0.7023
"Córdoba","core",0.4156
"Córdoba","core",0.251
"Córdoba","core",0.4403
"Córdoba","core",0.4175
"Córdoba","core",0.3637
"Córdoba","core",0.479
